,Activity Date,Distance,Moving Time,Max Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Average Cadence,Average Heart Rate,Average Watts,Weighted Average Power,Wind Speed,Average Speed,Total Weight
735,2019-11-17 13:04:04,82.03,9917.0,63.0,820.0,806.0,733.4000244140625,893.2000122070312,83.9056625366211,145.0,152.10496520996094,165.0,,29.777957043460724,74.5
737,2019-11-20 12:29:53,85.29,10632.0,59.039998626708986,765.0,751.0,751.7999877929688,904.7999877929688,83.76005554199219,152.0,147.18472290039062,154.0,,28.879232505643348,74.5
745,2019-11-30 12:43:20,4.03,624.0,51.11999931335449,79.0,69.0,808.5999755859375,889.4000244140625,80.25752258300781,125.0,151.01441955566406,174.0,,23.25,74.5
751,2019-12-07 10:19:15,112.3,13582.0,70.92000274658203,1246.0,1257.0,659.4000244140625,906.4000244140624,81.74981689453125,141.0,142.4196014404297,162.0,,29.76586658813135,74.5
752,2019-12-08 19:19:59,51.62,6378.0,44.28000068664551,258.0,249.0,806.5999755859375,836.0,84.51507568359375,137.0,149.44715881347656,151.0,,29.136406396989653,74.5
763,2019-12-21 14:27:09,3.56,548.0,47.5199993133545,58.0,51.0,835.0,887.4000244140625,82.80842590332031,125.0,142.77879333496094,157.0,,23.386861313868614,74.5
764,2019-12-21 17:07:13,33.9,4200.0,68.4,320.0,259.0,776.0,835.5999755859375,85.71937561035156,153.0,175.0900421142578,190.0,,29.057142857142857,74.5
766,2019-12-24 09:30:22,113.14,14768.0,70.56000137329102,1130.0,1127.0,658.0,882.2000122070312,80.97478485107422,136.0,139.57431030273438,154.0,,27.58017334777898,74.5
768,2019-12-27 10:45:31,63.51,7879.0,64.43999862670898,568.0,568.0,786.0,858.2000122070312,83.66046905517578,143.0,142.32566833496094,161.0,,29.01840335067902,74.5
769,2019-12-28 10:25:24,117.6,14743.0,65.16000137329102,1147.0,1143.0,688.4000244140625,937.5999755859376,81.34622192382812,143.0,136.66017150878906,155.0,,28.716000813945602,74.5
